Faction,Quest,Description,Discovery DC,DC,Success?,Public?,
Western Gate Trading Company,Deploy Watch to 'Secure' Logging Routes,"In response to 'banditry' (i.e., the Circle of the Inner Grove), Archduke Lyra Silvershield authorizes Upper City Watch patrols along the Western Gate's new logging routes outside the city. This is a controversial overreach, encroaching on Flaming Fist jurisdiction and angering Lord Durinbold, who sees it as using city resources for private gain.",10,5,TRUE,TRUE,
Council of Four,Public Hearing on the 'Refugee Question',"The Parliament holds a public hearing on the stalled Refugee Relief Act. It devolves into a shouting match between nativist Patriars, merchants who want cheap labor, and a small contingent of moralists. High Watcher Alena of New Elturel gives a fiery, but ultimately ignored, testimony.",5,10,TRUE,TRUE,
Patriar Heritage Society,Sponsor the Dispossessed Hlath Family,"Lord Corin Durinbold's attempt to publicly sponsor the dispossessed Hlath family fails. Amnian Kontor agents, moving with speed and ruthlessness, intercept the family first. The Hlaths, intimidated or bought off, publicly refuse the Patriar Heritage Society's aid, making Durinbold look weak and outmaneuvered in a quiet but significant political defeat.",10,10,FALSE,FALSE,
Chionthar Consortium,Impound an Independent Vessel,"To enforce the new Harbor Dredging Levy, the Chionthar Consortium uses its influence to have the Flaming Fist impound a trading vessel belonging to 'Mad' Meggan of the Free Traders of the Outskirts for non-payment, making an example of her.",10,5,TRUE,TRUE,
Flaming Fist,Brutalize a Protesting Merchant,"During the continued shakedowns at Wyrm's Crossing, a merchant from the Free Traders of the Outskirts who refuses to pay the 'toll' is brutally beaten by a Flaming Fist patrol led by Manip Jerrol. The incident is witnessed by dozens and sparks outrage among the Outer City communities.",5,5,TRUE,TRUE,
Upper City Watch,Crack Down on 'Unsanctioned Art',"The Watch's attempt to crack down on 'unsanctioned art' in the Upper City proves ineffective. The artists, more clever than anticipated, easily evade the clumsy patrols. The effort results in no arrests and is quietly abandoned, while mocking caricatures of Watch officers begin to appear on walls near the Citadel.",10,5,FALSE,FALSE,
Peerage of Coin,Enforce 'Priority Storage' Rates,"With their new warehousing monopoly, Master Joric the Stout's Consortium triples the storage rates for goods originating from the Sembian Kontor, claiming Sembian cargo requires 'additional security'. This is a direct economic attack.",15,10,TRUE,TRUE,
Sembian Mercenaries,First Blood in the Whisperwood,"The Sembian mercenaries hired by Matron Lyra Silvershield have their first skirmish with the Circle of the Inner Grove near the Whisperwood Copse. A druid is wounded, and two mercenaries are injured before the Circle melts back into the woods.",15,10,TRUE,FALSE,
Iron Throne,Broker Risky Undercity Expedition,"The Iron Throne's brokered expedition into the Undercity ends in disaster. The adventuring party they hired is ambushed and wiped out by a Guild patrol, who were seemingly tipped off. The heirloom is lost, the merchant is ruined, and the Iron Throne loses both its investment and a degree of credibility in the underworld.",20,15,FALSE,FALSE,
Amnian Kontor,Sell the Hlath Estate to an Ally,"Consul Vorlamin Athar's plan to quickly sell the Hlath Estate to an ally is thwarted. Lord Corin Durinbold of the Peerage of Blood discovers an ancient, obscure property law and files an injunction, tying the sale up in the city's labyrinthine bureaucracy. The estate remains empty, a symbol of the Amnian Kontor's rare but frustrating legal defeat.",15,5,FALSE,FALSE,
Waterdhavian Kontor,Translate the 'Tome of the Companion',"Factor Elara Mornwood's scholars begin translating a key text 'acquired' from the Elturian refugees: the 'Tome of the Companion,' which details the binding of the celestial that guarded Elturel. They hope to find clues to powerful, forgotten binding magics.",15,10,TRUE,TRUE,
Sembian Kontor,Recruit a New Information Asset,"Noticing the rising tensions, Bursar Korgan Ironhand tasks his intelligence network with recruiting a new asset inside the Flaming Fist barracks at Wyrm's Rock, hoping to get advance warning of any potential 'disruptions to trade' (i.e., protests or riots).",15,10,TRUE,TRUE,
Lantaner Concession,Post an Anonymous Bounty,"To recover the mechanical parts stolen by the Wharf Rats without admitting a security breach, Chief Artificer Glim-Nimblewhiz uses a third-party fence to post an anonymous but generous bounty for 'lost clockwork mechanisms' at the Elfsong Tavern.",15,5,TRUE,FALSE,
Worshipful Company of Shipwrights & Calkers,Enforce Guild-Only Repairs,"Citing the new Harbor Dredging Levy, Master Helma Tallowshand's guild announces that their drydocks will no longer service vessels without a Shipwrights' Company seal, effectively forcing independent captains to either join the guild or risk their ships falling into disrepair.",10,5,TRUE,TRUE,
Worshipful Company of Masons & Sculptors,Publicly Blame Sabotage for Flaw,"Master Borin Stonehand's attempt to blame the shoddy wall repair on 'Zhentarim sabotage' is met with widespread public skepticism. Ettvard Needle of the Baldur's Mouth prints the claim but frames it as dubious, and without evidence, the story fails to gain traction. Instead of securing more funds, Stonehand's reputation for honesty takes a hit among the populace.",10,10,FALSE,FALSE,
Worshipful Company of Vintners & Brewers,Bribe a Peerage of Coin Member,"To head off a proposed tax on luxury goods, Master Belba Quickfoot delivers a 'gift' of several casks of priceless Amnian wine (acquired from the Undercellar) to a key member of the Peerage of Coin, securing his vote.",15,10,TRUE,TRUE,
Worshipful Company of Mercers & Clothiers,Identify a Fashion Spy,Mistress Elethra Vance's internal security identifies a journeyman tailor who has been selling designs for the patriars' winter gowns to a rival boutique in Bloomridge. The journeyman is quietly fired and blacklisted from the trade.,15,10,TRUE,FALSE,
Worshipful Company of Goldsmiths & Jewelers,Create a Masterwork for a Patriar,"Master Theronius Goldhand personally oversees the creation of a magnificent gold-and-silver canary automaton for Lord Durinbold, a gift meant to solidify the alliance between the traditionalist guild and the Peerage of Blood.",10,5,TRUE,FALSE,
Worshipful Company of Alchemists & Apothecaries,Deny Antitoxin to a Clinic,"The Alchemists' Company's refusal to provide antitoxin to the Open Hand Temple is rendered moot. A resourceful group of adventurers bypasses the guild entirely, acquiring and delivering a large shipment of medical supplies from a Chionthar Consortium warehouse directly to the overwhelmed clinic in Rivington, earning the public's praise and the guild's private fury.",5,5,FALSE,TRUE,direct party intervention
Worshipful Company of Fishmongers,Negotiate a 'Levy Exemption',"Following the dockworker strike, Matron Marga Saltwind negotiates a backroom deal with the Chionthar Consortium. The Fishmongers' fleets will be exempt from the Harbor Dredging Levy in exchange for guaranteed lower prices on fish for the Consortium's own mess halls.",10,10,TRUE,TRUE,
Worshipful Company of Smiths & Armorers,Purchase an 'Infernal Contract' Shard,"Dammon hears a rumor of a tiefling in New Elturel who possesses a shard of a devil's contract, physically manifested during the Fall of Elturel. He seeks to purchase it, believing the infernal script can be used in his forge-work.",10,10,TRUE,TRUE,
Worshipful Company of Cartographers & Surveyors,Lose' an Inconvenient Deed,"The attempt to silence a minor patriar and 'lose' a land deed inconvenient to the Western Gate Trading Company fails. The patriar avoids the planned 'accident' and successfully files the ancient deed with the city magistrates. This creates a massive legal and financial crisis for the Trading Company, as their claim to a key piece of property is now publicly and legally disputed.",20,15,FALSE,FALSE,
Worshipful Company of Butchers & Tanners,Intimidate a Health Inspector,"The Guild Wardens' attempt to intimidate a city health inspector backfires. The inspector, either exceptionally brave or having secured protection from a rival faction, is not cowed by the threats. He files a damning report on the tanneries' pollution, resulting in a hefty fine for Goodman Borlu and unwanted official scrutiny of his operations.",15,10,FALSE,FALSE,
Worshipful Company of Chandlers & Lamplighters,Identify 'Dark Zones' for The Guild,"In exchange for protection for her lamplighter crews in dangerous neighborhoods, Mistress Anya Brightwood provides a Guild ward boss with a list of streets where lamps are 'malfunctioning,' creating dark zones perfect for ambushes or smuggling.",15,10,TRUE,FALSE,
The Sorcerous Sodality,Scry on a Peerage of Blood Member,"To gain leverage in the parliament, the Master of the Sodality has one of his wizards perform a scrying ritual on Lord Corin Durinbold, hoping to uncover personal secrets or political plans that can be used against the traditionalist bloc.",20,15,TRUE,FALSE,
The Guild,Reinforce Brampton's Loyalty,"In response to the Zhentarim's arson, Nine-Fingers sends her hulking enforcer, Tusgront, to the Brampton district. He doesn't start fights; he just visits every shop, reminds them of the benefits of Guild protection, and suggests it would be 'unwise' to associate with newcomers.",10,10,TRUE,TRUE,
The River-Rats,Smuggle a Person Past the Gates,"The smuggling operation to get a disgraced patriar's son out of the city fails. A Flaming Fist patrol, acting on an anonymous tip, ambushes the smuggling party in the sewer tunnels. Silas the Eel's crew manages to escape, but the patriar's son is captured and imprisoned, causing a major scandal for his family.",15,10,FALSE,FALSE,
The Wharf Rats,Misdirect' a Shipment of Weapons,"One-Eyed Jack's plan to divert a Flaming Fist weapons shipment goes awry. Security on the transport is unexpectedly high, and the Guild's dockside contact fails to create the necessary opening. The shipment of crossbows arrives safely at the Fist barracks, leaving the Guild empty-handed and their informant network potentially compromised.",15,15,FALSE,FALSE,
