Faction Name,Quest,Description,Discovery DC,DC,Success?,Public?
Amnian Kontor (The Gold-Gable Hall),Finalize Foreclosure on the Hlath Estate,"Consul Vorlamin Athar's legal agents finalize the foreclosure on the Hlath patriar estate in Manorborn. The family, ruined by gambling debts owed to Amnian lenders, is quietly and unceremoniously evicted. The Kontor now owns a prime piece of Upper City real estate.",10,5,FALSE,FALSE
Baldur's Mouth,Print a Pro-Consortium Puff Piece,"For a hefty bag of coin from Matron Lyra Silvershield, editor Ettvard Needle runs a front-page story in the Baldur's Mouth praising the Western Gate Trading Company for 'bravely taming the wilderness' to provide jobs and resources for the city.",0,5,FALSE,TRUE
Chionthar Consortium,Secure Exclusive Warehousing Contract,"The Sembian Kontor gets wind of Master Joric's plan. Bursar Korgan Ironhand leverages his vast cash reserves to make a last-minute, unbeatable offer to the warehouse owners. The Chionthar Consortium not only loses the exclusive contract but is forced to pay even higher rates for storage, marking a major financial defeat at the hands of their foreign rival.",10,10,TRUE,TRUE
Circle of the Inner Grove,Perform a Ritual of Warding,"The ritual is corrupted by the region's lingering infernal energy. Instead of strengthening the natural animals, it twists them into fiendish, aggressive versions that attack loggers and druids alike. Elion has inadvertently created a bigger problem, blighting the wood he sought to protect.",20,10,TRUE,TRUE
Council of Four,Finalize Hinterland Logging Expansion Charter,"Lord Durinbold, leading the Peerage of Blood, finds a procedural loophole in the city charter regarding land use outside the walls. He successfully tables the motion for ""further review,"" delaying the charter indefinitely and dealing a public blow to Archduke Silvershield's authority.",5,5,FALSE,FALSE
Cult of the Returning Lord (Bhaal),Consecrate a Sewer Altar with a 'Nobody's' Blood,"Bhaal cultists kidnap a homeless man from a Heapside alley and murder him on a makeshift altar in the Undercity, consecrating the space for future, more important rituals. The body is disposed of and the man is never missed.",20,10,TRUE,FALSE
Flaming Fist,Increased Shakedowns on Wyrm's Crossing,"The aggressive shakedowns backfire spectacularly. A confrontation with 'Mad' Meggan of the Free Traders erupts into a public brawl on the bridge. The Free Traders, united and furious, refuse to pay, creating a massive, multi-day blockade of Wyrm's Crossing. Marshal Flint's revenue grab results in a net loss of trade and a public relations disaster for the Fist.",5,10,FALSE,FALSE
Followers of the Phoenix,Hold a Sermon in New Elturel,"The 'Ember,' the charismatic leader of the Karlach-worshipping cult, holds their first public sermon in an abandoned square in New Elturel. A small crowd of downtrodden tieflings and outcasts is drawn to their message of righteous fury.",5,5,TRUE,TRUE
Free Traders of the Outskirts,Establish a Mutual Protection Pact,"Mad' Meggan organizes a pact among the independent caravan masters of the Outer City. They agree to travel in larger, combined convoys and share intelligence on the increasingly aggressive Flaming Fist patrols at Wyrm's Crossing.",5,10,TRUE,TRUE
Hand of the Absolute / Hands of the Absolute,Listen for the 'Echo',"The ritual is too successful. Instead of a faint echo, they contact a feral psychic entity. The entity lashes out, killing one cultist and driving another mad before vanishing. The 'Voice' is left with a terrified, diminished flock and the knowledge that something dangerous has answered their prayers.",20,15,TRUE,FALSE
Harpers,Plant an Agent in the Masons' Guild,"The Harper agent is vetted, but his cover story has a minor flaw. Suspicious, Master Borin Stonehand's people put the agent under surveillance. The agent gets the job but is watched at all times and fed misinformation, effectively becoming a double agent without his knowledge. The Harpers' investigation is compromised from the start.",20,15,TRUE,TRUE
Hellriders of New Elturel,Submit Petition for Citizenship to the High Hall,"An aide to a nativist patriar leaks the petition, along with a falsified cost-analysis report, to the Baldur's Mouth. The resulting article stokes public fear about the 'refugee burden,' turning public opinion against the Hellriders and making citizenship an even more distant goal.",0,15,TRUE,TRUE
Knights of the Shield,Recruit a Dispossessed Patriar,"Lord Hlath, though bitter, is a traditionalist and finds the Knights' diabolical dealings repugnant. He not only refuses their offer but, in a fit of patriotic pique, anonymously tips off a priest at the Watchful Shield Shrine about the Knights' resurgence. The recruitment attempt fails and exposes their renewed activity.",20,15,FALSE,FALSE
Lantaner Concession (The Cogwork Quay),Root Out an Industrial Spy,"The apprentice spy, forewarned by an accomplice, manages to escape the Cogwork Quay just before security closes in. They make it out of the enclave with a partial schematic of the smokepowder mechanism, delivering a valuable secret to their handlers in the Worshipful Company of Smiths & Armorers. The Concession now has a known security breach.",20,10,FALSE,FALSE
Parliament of Peers,Debate the Refugee Relief Act,"The bill is formally shelved after a series of acrimonious debates. The Peerage of Blood, citing fiscal concerns and 'civic purity,' successfully filibusters the final vote, leaving the refugees with no official aid and increasing tensions in the Outer City.",5,10,TRUE,FALSE
Patriar Heritage Society,Host a 'Baldurian Purity' Gala,"Lord Corin Durinbold hosts an exclusive gala for members of the Peerage of Blood. The theme is 'Baldurian Purity,' and the event is a thinly veiled political rally against the influence of the foreign Kontors and 'new money' consortiums.",10,5,TRUE,FALSE
Peerage of Blood,Block the 'New Kontor Wayleave' Proposal,"Led by Lord Corin Durinbold, the traditionalist patriars successfully block a proposal from the Amnian Kontor that would grant them a private, toll-free wayleave through a section of the Lower City, arguing it's a gross violation of Baldurian sovereignty. The vote is a rare victory for the old guard.",10,10,TRUE,TRUE
Peerage of Coin,Push Through the 'Harbor Dredging Levy',"The major shipping factions, led by the Chionthar Consortium and the Sembian Kontor, successfully lobby to pass a new levy on all non-guild vessels entering Gray Harbour, framing it as necessary to fund the dredging of the Chionthar. The cost is passed on to independent merchants.",5,5,TRUE,FALSE
Remnant Costers (Iron Throne,Sponsor an Adventuring Party,"The High Moon Coster, led by the Oberon family, scrapes together enough coin to sponsor a fledgling adventuring party to explore a rumored ruin in the Cloakwood, hoping to find a rare artifact that can restore a sliver of their family's lost fortune.",15,15,TRUE,TRUE
River-Rats,Establish a New Sewer Cache,"Silas the Eel's crew identifies and secures a new, defensible sewer nexus beneath the Brampton district to serve as a hidden cache for smuggled goods, bypassing the increased Flaming Fist patrols on Wyrm's Crossing.",20,10,FALSE,FALSE
Sembian Kontor (The Iron Ledger),Broker a Mercenary Contract for the Western Gate Trading Company,Bursar Korgan Ironhand brokers a deal between the Western Gate Trading Company and a tough mercenary band. The mercs are hired to 'protect' the Company's new logging operations from 'bandits' (a clear euphemism for the Circle of the Inner Grove).,5,5,TRUE,TRUE
The Bibliophile,Sell Information on a Cheating Merchant,"Nansi Gretta's network sells proof to a Chionthar Consortium member that his partner is secretly making side deals with the Sembian Kontor. The information is sold for a high price, and the resulting fallout benefits Gretta's other clients.",20,10,TRUE,FALSE
